map_cols=50
map_rows=24
tile_width=32
tile_height=32
tile_path=map\all32.png
tile_grid_id=1
barrier_layer_name=obstacle
<layer name=obstacle>
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,0,0,0,0,0,0,0,0,0,2,15,1,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,2,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,21,18,0,0,0,0,
0,0,0,0,0,16,0,16,0,0,0,0,0,2,15,1,0,0,0,0,0,2,15,15,18,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,16,0,16,0,0,0,0,0,16,0,16,0,0,0,0,0,16,0,0,0,0,0,21,18,0,0,0,0,0,2,15,4,0,3,15,15,15,15,18,0,0,0,0,0,0,
15,15,15,15,15,4,0,3,15,15,15,15,15,4,0,3,15,15,15,15,15,4,0,0,0,0,0,0,0,21,15,15,15,15,4,0,0,0,0,0,0,0,0,0,0,0,21,18,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15,15,18,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,1,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,2,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,16,0,16,0,0,0,0,0,2,15,1,0,0,0,0,0,2,15,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,21,18,
0,0,0,0,0,16,0,16,0,0,0,0,0,16,0,16,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,2,15,4,0,3,15,15,15,15,18,0,0,0,0,0,0,
0,0,21,15,15,4,0,3,15,15,15,15,15,4,0,3,15,15,15,15,15,4,0,3,15,15,18,0,0,21,15,15,15,15,4,0,0,0,0,0,0,0,0,0,0,0,21,18,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15,18,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,1,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,2,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,16,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,16,13,16,0,0,0,0,0,2,15,1,0,0,0,0,0,2,15,1,0,0,0,0,0,0,0,0,0,0,0,0,16,13,16,0,0,0,0,0,0,0,0,2,15,15,
0,0,0,0,0,16,13,16,0,0,0,0,0,16,13,16,0,0,0,0,0,16,13,16,0,0,0,0,0,0,0,0,0,0,2,15,4,13,3,15,15,15,15,15,15,15,15,4,13,13,
15,15,15,15,15,4,13,3,15,15,15,15,15,4,13,3,15,15,15,15,15,4,13,3,15,15,15,15,15,15,15,15,15,15,4,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
</layer>
